Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Смик,Євген,Леопольдович,Чоловіча,27-12-1949,Зоолог,село Угнів,"парк Пшенична, буд. 3, Гнівань, 56318",+380 03 046-92-68,feofanostapchuk@example.com
Кащенко,Трохим,Андрійович,Чоловіча,12-01-1983,Візажист,хутір Лозова,"набережна Олександра Тимошенка, буд. 19, Чорноморськ, 85223",063 257 95 79,vasyl66@example.com
Ващук,Демʼян,Лукʼянович,Чоловіча,26-03-1995,Фотограф,селище Вижниця,"набережна Лазурний 3-й, буд. 23, Хоростків, 13280",+380 68 902-47-29,havriushenkoarsen@example.com
Орлик,Вадим,Миронович,Чоловіча,12-11-2006,Маркетолог,село Хмельницький,"набережна Шухевича Романа, буд. 4 кв. 378, Городище, 17463",075 872 37 84,mykhailyna03@example.org
Василевич,Юстим,Олесьович,Чоловіча,07-06-1948,Доцент,селище Южноукраїнськ,"вулиця Ромський, буд. 43 кв. 2, Кривий Ріг, 18859",259-66-97,hoholievhen@example.com
Демʼянчук,Борис,Макарович,Чоловіча,08-05-1980,Візажист,селище Мена,"набережна Крайня, буд. 883 кв. 75, Баранівка, 26771",041 337 91 29,phuzii@example.net
Носаченко,Тарас,Максимович,Чоловіча,01-10-1943,Кіноактор,хутір Нетішин,"парк Капітана Кузнецова, буд. 57, Копичинці, 19949",029 033-44-81,rbashtan@example.net
Валенко,Опанас,Валентинович,Чоловіча,29-09-1963,Інженер,хутір Ірпінь,"шосе Родоканакі, буд. 78, Тараща, 56162",+380 06 538-96-35,khoma54@example.org
Редько,Леопольд,Алевтинович,Чоловіча,16-02-1969,Музикознавець,хутір Зборів,"площа Кладовищенська, буд. 11, Гнівань, 30695",+380 (28) 395-28-46,amvrosii57@example.net
Ярема,Семен,Ааронович,Чоловіча,03-02-1940,Астроном,місто Токмак,"сквер Проїзний 1-й, буд. 78 кв. 78, Сватове, 95590",074 115 90 05,skyrdamariia@example.com
Засуха,Богдан,Михайлович,Чоловіча,19-10-2007,Конструктор,село Бердичів,"проспект Балтський 4-й, буд. 907 кв. 5, Залізне, 44202",503-99-20,jneporozhnii@example.net
Доценко,Мирослав,Миронович,Чоловіча,25-10-1949,Сантехнік,місто Златопіль,"парк Матюшенка, буд. 87, Коломия, 53900",607-23-28,amvrosii87@example.com
Ященко,Йосип,Віталійович,Чоловіча,15-11-1998,Епідеміолог,село Коростишів,"провулок Деревообробний 3-й, буд. 8, Ровеньки, 32584",697-45-84,parasiukandrii@example.com
Засуха,Володимир,Тарасович,Чоловіча,29-11-1961,Підприємець,місто Березівка,"проспект Миколи Савича, буд. 762 кв. 271, Вилкове, 90466",+380 49 938 81 76,pylyp00@example.com
Дерегус,Ростислав,Ростиславович,Чоловіча,10-06-2001,Паблік рилейшнз,село Іллінці,"набережна Поперечний, буд. 0 кв. 42, Вільнянськ, 70397",+380 85 795-82-43,atereshchenko@example.net
Тесля,Альберт,Олександрович,Чоловіча,27-10-1944,Педагог,селище Мерефа,"проспект Шевченка парк, буд. 61, Вільнянськ, 93131",+380 81 973-52-81,vkovalenko@example.com
Дубенко,Єлисей,Зорянович,Чоловіча,14-02-2007,Живописець,селище П'ятихатки,"провулок Різницький, буд. 713 кв. 1, Єнакієве, 48244",055 688 22 26,dusyk@example.net
Їжакевич,Леон,Климентович,Чоловіча,26-11-1991,Маркетолог,місто Перевальськ,"площа Рульовий, буд. 851 кв. 03, Скадовськ, 98117",339 21 66,hrytsenkoiaroslav@example.org
Скопенко,Олександр,Августинович,Чоловіча,08-09-1949,Реабілітолог,селище Сіверськодонецьк,"шосе Іванова Ігоря, буд. 034, Молочанськ, 13159",+380 (46) 781-30-78,dbandurka@example.com
Батіг,Антон,Павлович,Чоловіча,04-02-1973,Патологоанатом,селище Бережани,"провулок Дунайська, буд. 352, Вугледар, 02448",086 023 72 06,serhii40@example.org
Іщак,Захар,Опанасович,Чоловіча,14-06-1942,Дизайнер,селище Чорнобиль,"площа Гайова, буд. 2 кв. 965, Новоазовськ, 94571",065 457-49-99,uverkhola@example.org
Ажажа,Олександр,Зорянович,Чоловіча,23-02-1984,Промисловець,село Кривий Ріг,"сквер Гілельса, буд. 1, Бориспіль, 23001",+380 54 827-77-17,milenaartiukh@example.org
Яремко,Дан,Едуардович,Чоловіча,20-05-1946,Психолог,місто Кам'янець-Подільський,"сквер Данила Крижанівського, буд. 41 кв. 161, Кам'янське, 37828",054 008-67-23,mariiaprytula@example.org
Щербак,Богдан,Леонтійович,Чоловіча,28-05-1972,Актор,село Вилкове,"вулиця Джевецького, буд. 45, Сокаль, 65902",000 788-31-09,ierchenkorozaliia@example.com
Онуфрієнко,Герман,Геннадійович,Чоловіча,30-11-1944,Модельєр,місто Семенівка,"проспект Отонівський, буд. 706 кв. 267, Шептицький, 01687",+380 (54) 079-97-27,ovsiienkoaaron@example.org
Артим,Пилип,Єлисейович,Чоловіча,28-11-1938,Ювелір,селище Ананьїв,"узвіз Андрія Музичка, буд. 3 кв. 3, Ніжин, 01169",590 75 35,gonufriienko@example.com
Журавель,Захар,Михайлович,Чоловіча,29-11-1968,Правник,село Глухів,"шосе Лиманна, буд. 101 кв. 448, Яремче, 52249",092 462 51 62,dutkaillia@example.org
Деркач,Святослав,Устимович,Чоловіча,21-07-1982,Фармацевт,місто Дубляни,"вулиця Чайкова, буд. 20 кв. 44, Часів Яр, 01819",+380 (15) 091-18-52,heorhii22@example.net
Яремко,Євген,Мирославович,Чоловіча,22-08-2000,Головний меркшейдер,село Шаргород,"парк Вертелецького, буд. 28, Ковель, 90053",+380 46 125 24 49,marynadatsenko@example.com
Нестеренко,Альберт,Гордійович,Чоловіча,09-12-1969,Мистецтвознавець,хутір Шпола,"парк Каменярів, буд. 03 кв. 8, Знам'янка, 75429",+380 99 732-78-91,larysa47@example.com
Джус,Стефан,Єфремович,Чоловіча,23-11-1957,Мистецтвознавець,хутір Березівка,"площа Виноградний, буд. 46 кв. 0, Новогродівка, 29114",+380 32 590-75-64,iarema12@example.net
Мірошниченко,Тарас,Болеславович,Чоловіча,13-01-1942,Дерун,селище Узин,"набережна Сонячна, буд. 7, Миколаїв, 92616",+380 67 436-28-06,teslenkoliudmyla@example.org
Демʼянчук,Альберт,Августинович,Чоловіча,24-05-2001,Льотчик,хутір Світлодарськ,"вулиця Моторна, буд. 10 кв. 4, Вашківці, 28141",009 862-44-35,liliia38@example.com
Вергун,Симон,Устимович,Чоловіча,02-12-2007,Ювелір,хутір Почаїв,"провулок Митна, буд. 7 кв. 9, Кам'янець-Подільський, 74438",+380 67 612-08-42,atroshchenkoopanas@example.com
Цимбал,Єлисей,Віталійович,Чоловіча,10-02-1990,Електрик,селище Довжанськ,"сквер Яружний, буд. 99 кв. 73, Славута, 29045",021 304-44-39,frants63@example.org
Фастенко,Нестор,Макарович,Чоловіча,06-05-1994,Педагог,селище Бердичів,"узвіз Центральний аеропорт, буд. 95 кв. 8, Кілія, 73798",062 798-49-22,liudmyla40@example.com
Лавренко,Пантелеймон,Євгенійович,Чоловіча,19-11-1959,Ювелір,селище Борислав,"проспект Віталія Блажка, буд. 56, Бурштин, 96972",+380 18 466 26 73,iaryna10@example.com
Верес,Веніямин,Гаврилович,Чоловіча,25-08-1946,Петрограф,селище Інкерман,"площа Маразліївська, буд. 0 кв. 6, Долина, 84385",+380 05 231-70-14,xlahoda@example.com
Масоха,Юхим,Климентович,Чоловіча,17-03-1999,Фрілансер,селище Козятин,"вулиця Овідіопольська дорога, буд. 48 кв. 68, Дружківка, 56674",829-53-83,ada18@example.org
Ващук,Остап,Мирославович,Чоловіча,07-03-1991,Бухгалтер,село Чугуїв,"провулок Волокидіна, буд. 9, Косів, 80115",074 141 85 84,babychmariana@example.net
Бабариченко,Микита,Віталійович,Чоловіча,12-03-1976,Електромонтер,хутір Підгородне,"шосе Західний 3-й, буд. 621, Бахмут, 26524",+380 (38) 905-35-43,alevtyn32@example.net
Мазепа,Аврелій,Азарович,Чоловіча,04-11-1945,Вчитель,місто Сновськ,"узвіз Вузький, буд. 1, Хмельницький, 76384",+380 (58) 703-26-96,bohuslava96@example.net
Вівчаренко,Аврелій,Панасович,Чоловіча,02-05-2004,Фотограф,хутір Оріхів,"узвіз Бродська, буд. 03 кв. 442, Новомиргород, 73612",593 78 91,zzabashta@example.net
Бабʼяк,Георгій,Тарасович,Чоловіча,12-07-1985,Бухгалтер,місто Герца,"набережна Пилипа Орлика, буд. 1 кв. 05, Южноукраїнськ, 46796",+380 05 383-03-44,shcherbakihor@example.net
Асаула,Азар,Симонович,Чоловіча,10-08-2002,Мінералог,селище Судова Вишня,"шосе Бузковий 1-й, буд. 9 кв. 7, Нововолинськ, 86540",+380 76 837 14 03,nehodadanna@example.net
Барабаш,Дан,Геннадійович,Чоловіча,30-12-1996,Няня,хутір Брянка,"парк Гонтаренко, буд. 847 кв. 969, Кремінна, 55270",+380 47 726-55-67,davydostapchuk@example.com
Адамчук,Борис,Опанасович,Чоловіча,16-03-2001,Маркетолог,село Бердянськ,"узвіз 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 90, Глобине, 92196",016 228 29 68,cchernenko@example.com
Левченко,Мирон,Стефанович,Чоловіча,08-07-1942,Електротехнік,село Радивилів,"сквер Лузанівський 1-й, буд. 58, Пустомити, 36392",+380 (20) 462-00-97,zinkevychdavyd@example.com
Піддубний,Марко,Варфоломійович,Чоловіча,15-02-1987,Візажист,хутір Деражня,"парк Люстдорфська дорога, буд. 1, Тернівка, 48522",575-65-54,ievhen21@example.com
Єщенко,Панас,Гордійович,Чоловіча,25-11-1991,Диригент,село Гайворон,"набережна Магістральна, буд. 7 кв. 043, Ржищів, 53237",+380 (28) 113-91-68,taras01@example.org
Жученко,Симон,Глібович,Чоловіча,29-12-1994,Патологоанатом,місто Сніжне,"площа Політкаторжан, буд. 23 кв. 5, Бахмач, 10473",013 562 03 42,taras65@example.net
Яременко,Пармен,Трохимович,Чоловіча,25-09-1992,Фотограф,хутір Перевальськ,"шосе Європейська, буд. 50 кв. 280, Олександрівськ, 28740",486-03-27,okhrim28@example.com
Хоменко,Іван,Миронович,Чоловіча,24-12-1946,Мовознавець,село Васильків,"вулиця Сортувальна 2-га, буд. 0 кв. 7, Хорол, 48392",051-11-31,torlyk@example.net
Атаманюк,Віктор,Валентинович,Чоловіча,15-02-1941,Мікробіолог,село Тульчин,"набережна Шебелінський, буд. 71 кв. 041, Ровеньки, 92479",066 530 40 45,makar56@example.com
Шовкопляс,Аврелій,Соломонович,Чоловіча,20-05-1991,Електротехнік,хутір Бар,"набережна 1-ша Лінія Марії Демченко, буд. 06, Новоселиця, 30660",+380 (36) 589-90-18,nataliialaba@example.org
Забарний,Григорій,Ігнатович,Чоловіча,26-05-1970,Електротехнік,селище Угнів,"шосе Кипарисний 2-й, буд. 0 кв. 2, Рогатин, 84696",+380 (72) 452-59-22,whaievskyi@example.org
Баранник,Борислав,Назарович,Чоловіча,20-08-1971,Електрик,село Черкаси,"парк Пересипська 2-га, буд. 59, Броди, 02518",196-17-61,heorhiidakhno@example.org
Голик,Богодар,Русланович,Чоловіча,26-11-1970,Астроном,хутір Шахтарське,"провулок Академіка Корольова, буд. 096, Українка, 47310",+380 78 803-89-53,averchenkovarvara@example.net
Гузь,Дан,Костянтинович,Чоловіча,09-01-1952,Композитор,селище Костянтинівка,"парк Регенсбург, буд. 710, Дебальцеве, 51409",084 09 56,bshapoval@example.com
Макогон,Опанас,Симонович,Чоловіча,09-03-1962,Громадський діяч,селище Берестин,"парк Соляна, буд. 54, Кілія, 68468",+380 05 897-70-24,baranetsiaroslav@example.net
Атаманюк,Демид,Богуславович,Чоловіча,26-06-1988,Акушер,хутір Новий Калинів,"узвіз Донцова Дмитра, буд. 428, Кагарлик, 56774",+380 (82) 784-97-00,frantsshylo@example.net
Дубенко,Зорян,Теодорович,Чоловіча,31-10-1945,Драматург,хутір Вишгород,"парк Ключовий 1-й, буд. 7 кв. 8, Тисмениця, 31066",350-97-20,milenakonoplenko@example.net
Панчук,Тимофій,Максимович,Чоловіча,01-04-1941,Графік,село Знам'янка,"провулок Нафтовиків 3-й, буд. 249, Шпола, 29175",+380 45 644 72 32,bgzhytskyi@example.org
Башполченко,Олександр,Венедиктович,Чоловіча,05-01-1986,Ювелір,село Буринь,"провулок Юннатів, буд. 80 кв. 826, Гадяч, 11996",074 535-66-10,kabanenkobohuslav@example.net
Артимишин,Богуслав,Демидович,Чоловіча,15-03-1957,Круп'є,місто Рубіжне,"площа Трудовий, буд. 3, Винники, 72108",+380 93 350 37 76,fastenkooryna@example.org
Назаренко,Григорій,Павлович,Чоловіча,09-06-2003,Фотограф,селище Єнакієве,"проспект Скляний 1-й, буд. 64 кв. 1, Олександрівськ, 89266",+380 18 622-13-26,nazar86@example.net
Таран,Омелян,Гаврилович,Чоловіча,15-08-1942,Музикознавець,селище Судак,"узвіз Софії Перовської, буд. 439 кв. 8, Дрогобич, 56438",570-09-12,olena90@example.net
Шведченко,Ярема,Ростиславович,Чоловіча,30-01-1953,Лікар,селище Зоринськ,"узвіз Львівська, буд. 89, Деражня, 20692",+380 29 997-72-55,cbarannyk@example.org
Шахрай,Орхип,Миронович,Чоловіча,17-04-1997,Фармацевт,місто Березне,"узвіз Танкістів, буд. 3 кв. 771, Зборів, 52754",+380 61 333 73 17,achornovil@example.net
Чаленко,Валентин,Федорович,Чоловіча,14-05-1991,Машиніст,село Залізне,"сквер Амбулаторний 1-й, буд. 584, Скалат, 29238",+380 99 974 00 75,larysafranchuk@example.net
Лавренко,Августин,Васильович,Чоловіча,13-12-1997,Драматург,селище Верхівцеве,"провулок Стамбульський, буд. 02, Болград, 73191",080 631 06 25,bohodarkhrystych@example.org
Батіг,Левко,Ігорович,Чоловіча,05-04-1982,Сантехнік,село Дергачі,"площа Лиманчик 2-й Лінія 2-га, буд. 40, Рубіжне, 38217",340 60 77,pzinchuk@example.org
Гречаник,Прохір,Богуславович,Чоловіча,01-12-2002,Швачка,село Українськ,"шосе Обривиста, буд. 329, Бердичів, 52385",+380 (12) 250-92-14,hiaremkiv@example.net
Вишиваний,Максим,Едуардович,Чоловіча,04-04-1980,Фармацевт,селище Городня,"провулок Злакова, буд. 701 кв. 980, Калинівка, 38283",+380 46 099-72-92,vkalenychenko@example.org
Цибуленко,Борислав,Леопольдович,Чоловіча,25-07-1978,Няня,село Гірник,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 66, Шахтарське, 41881",+380 82 716-01-85,zoriandeineka@example.com
Пушкар,Орест,Богодарович,Чоловіча,22-04-1999,Музикант,місто Рені,"парк Палубна, буд. 59 кв. 691, Родинське, 17882",715 81 44,iosypturkalo@example.org
Чаленко,Опанас,Назарович,Чоловіча,23-08-1959,Піаніст,місто Торецьк,"узвіз Молоді, буд. 8, Золоте, 03395",+380 62 814-03-53,mazepavira@example.org
Калениченко,Гордій,Борисович,Чоловіча,07-11-1967,Електротехнік,селище Хуст,"набережна Об'їзна дорога, буд. 55 кв. 6, Перечин, 80505",+380 (68) 129-18-92,aiakymenko@example.org
Верес,Олесь,Августинович,Чоловіча,25-10-1982,Антрополог,селище Снігурівка,"площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 563, Авдіївка, 17377",+380 (04) 270-68-11,zabaraleon@example.net
Скопенко,Ілля,Хомович,Чоловіча,17-10-1995,Диригент,село Костопіль,"площа Лінія 36-та, буд. 0 кв. 384, Горішні Плавні, 89687",013 736 16 78,larysa50@example.net
Супруненко,Демʼян,Йосипович,Чоловіча,29-04-1957,Фотограф,село Шепетівка,"площа Василя Стуса, буд. 76 кв. 792, Рубіжне, 36037",+380 41 397-05-08,iefrem14@example.org
Даценко,Устим,Едуардович,Чоловіча,23-11-1956,Психолог,село Отаманівка,"набережна Ярморочна площа, буд. 960 кв. 06, Баштанка, 74255",009 217 43 77,solomiia40@example.org
Базилевич,Мартин,Хомович,Чоловіча,10-09-2008,Кінорежисер,селище Олександрівськ,"площа Лінія 29-та, буд. 898, Камінь-Каширський, 19322",+380 (97) 462-44-62,ielysaveta76@example.com
Вишивана,Лесь,Устимович,Чоловіча,14-04-1987,Журналіст,місто Сватове,"проспект Керченський 1-й, буд. 905 кв. 574, Золочів, 36007",+380 12 831 04 45,antonkozak@example.net
Шелест,Михайло,Ігнатович,Чоловіча,04-08-1960,Льотчик,селище Єнакієве,"проспект Сливова, буд. 854, Нікополь, 60400",002 887 74 22,mykhailovanchenko@example.com
Туркало,Зорян,Юхимович,Чоловіча,07-08-1952,Швачка,селище Жовті Води,"проспект Лінія 54-та, буд. 997, Гребінка, 40364",+380 11 619-49-49,dupliiheorhii@example.org
Примаченко,Ігнат,Яковович,Чоловіча,31-12-1940,Електрик,село Стрий,"сквер В’ячеслава Чорновола, буд. 67 кв. 9, Деражня, 17542",+380 (52) 347-48-50,kozaknazar@example.org
Жайворон,Аврелій,Ярославович,Чоловіча,28-04-1994,Детектив,місто Красноперекопськ,"проспект Новоселів, буд. 803, Джанкой, 15540",+380 79 283-85-26,khrystyna71@example.org
Дрозд,Роман,Юхимович,Чоловіча,06-03-1976,Петрограф,місто Корюківка,"узвіз Картамишевська, буд. 3, Краматорськ, 25788",+380 15 274 49 61,solomiiakorpaniuk@example.net
Козаченко,Орест,Данилович,Чоловіча,11-11-1970,Геолог,селище Єнакієве,"узвіз Кедровий, буд. 1 кв. 23, Конотоп, 10734",024 940-42-85,uhaidai@example.net
Юхименко,Альберт,Зорянович,Чоловіча,14-08-1997,Мінералог,хутір Глухів,"вулиця Калинова, буд. 3 кв. 20, Петрово-Красносілля, 94380",131-03-30,olenaisaievych@example.net
Опанасенко,Антон,Соломонович,Чоловіча,22-01-2000,Парфюмер,село Зборів,"провулок Ланжеронівський узвіз, буд. 599 кв. 60, Добропілля, 05558",+380 98 642-76-12,martynkaras@example.org
Ґалаґан,Станіслав,Валентинович,Чоловіча,20-06-1964,Гірник,місто Балта,"набережна Чорничний, буд. 8 кв. 2, Ясинувата, 97694",+380 28 279-72-08,lytvynievhen@example.com
Пелех,Олесь,Іванович,Чоловіча,14-04-1987,Астроном,хутір Дубно,"шосе Рожева, буд. 89 кв. 884, Нове Давидково, 88529",033 146 88 77,snizhanakhudobiak@example.net
Калениченко,Георгій,Аркадійович,Чоловіча,10-06-2003,Електрик,селище Кам'янка-Бузька,"набережна Левадна, буд. 714, Білицьке, 02935",061 070 03 11,iaremasirchenko@example.org
Демʼянюк,Демʼян,Вадимович,Чоловіча,11-04-1945,Сценарист,село Гуляйполе,"набережна Євгена Крамаренка, буд. 8, Чуднів, 83274",006 982-72-99,myron28@example.org
Міщенко,Пантелеймон,Прохорович,Чоловіча,17-11-1954,Письменник,місто Дніпрорудне,"площа Хімічний 3-й, буд. 827 кв. 082, Корсунь-Шевченківський, 23618",+380 07 580-33-77,iustymbabych@example.com
Козаченко,Теодор,Петрович,Чоловіча,16-12-1993,Громадський діяч,селище Скалат,"провулок Ватманський, буд. 4, Герца, 71828",064 294-80-20,avrelii63@example.com
Короленко,Венедикт,Олесьович,Чоловіча,11-02-1995,Композитор,село Дергачі,"парк Танкістів, буд. 44 кв. 11, Новогродівка, 76051",017 99 23,hordiitokar@example.net
Ковпак,Августин,Євгенійович,Чоловіча,12-02-1978,Золотар,село Хорол,"набережна Лазурний 4-й, буд. 394, Верхньодніпровськ, 15912",+380 90 983-22-67,klytvyn@example.net
Симоненко,Орест,Костянтинович,Чоловіча,07-07-1947,Історик,місто Тлумач,"проспект Василя Фащенка, буд. 3 кв. 82, Луганськ, 04977",674-34-12,nestor26@example.net
Забашта,Гліб,Орестович,Чоловіча,17-10-1998,Програміст,хутір Шумськ,"парк Кримський, буд. 224 кв. 3, Новомиргород, 90490",000 821-95-84,lvivcharenko@example.org
Данилюк,Олекса,Яковович,Чоловіча,25-07-1973,Електрослюсар,село Львів,"вулиця Новоселів, буд. 03, Бахчисарай, 73923",061 315-77-00,sofiiashtokalo@example.net
Дашкевич,Пилип,Венедиктович,Чоловіча,04-06-1977,Шериф,селище Ірпінь,"площа Іподромний, буд. 73 кв. 5, Лиман, 91176",+380 71 215 98 31,paliisviatoslava@example.com
Рябець,Гордій,Леонтійович,Чоловіча,28-07-1968,Маркетолог,селище Жмеринка,"шосе Східчастий 3-й, буд. 4, Ніжин, 51402",+380 (49) 788-11-66,alla74@example.org
Гузь,Макар,Йосипович,Чоловіча,03-09-1989,Соціолог,хутір Сторожинець,"провулок Різницький, буд. 815, Монастириська, 98452",+380 54 488-18-20,zonishchuk@example.net
Чуйко,Соломон,Миколайович,Чоловіча,16-03-1959,Ботанік,селище Дубляни,"узвіз Полуничний, буд. 971, Суходільськ, 85759",022 252 54 84,oksana96@example.net
Данькевич,Руслан,Юхимович,Чоловіча,06-09-1999,Ґрунтознавець,місто Таврійськ,"вулиця Будівельний, буд. 922 кв. 97, Почаїв, 33178",+380 33 209-97-40,tpetrenko@example.com
Єфименко,Ярема,Зиновійович,Чоловіча,15-03-2003,Історик,селище Золочів,"сквер Горбиста, буд. 1, Багачеве, 52275",002 558-35-65,alinamakarenko@example.net
Чайка,Степан,Макарович,Чоловіча,29-12-1972,Архітектор,село Волноваха,"шосе Мала, буд. 96 кв. 4, Дрогобич, 73658",011 052-11-55,rostyslavartymyshyna@example.org
Охримович,Аркадій,Богуславович,Чоловіча,01-09-1992,Патологоанатом,село Перемишляни,"набережна Лиманчик 2-й Лінія 5-та, буд. 560, Кривий Ріг, 44995",545-09-38,iokhrimenko@example.net
Євтушок,Амвросій,Святославович,Чоловіча,23-08-1998,Ботанік,село Бердичів,"шосе Садовий, буд. 45 кв. 426, Алчевськ, 90443",735-27-34,oryna51@example.net
Запорожець,Трохим,Степанович,Чоловіча,14-01-1995,Паблік рилейшнз,село Калуш,"парк Лінія 33-тя, буд. 610, Болехів, 41323",+380 (40) 764-03-72,oksanaskoryk@example.net
Демиденко,Панас,Стефанович,Чоловіча,24-01-2006,Медик,хутір Снігурівка,"узвіз Композитора Вербицького, буд. 6 кв. 7, Миколаївка, 09538",094 481-38-21,frantsolifirenko@example.org
Артимович,Азар,Федорович,Чоловіча,13-03-1959,Астроном,селище Генічеськ,"проспект Василя Стуса, буд. 44 кв. 535, Болград, 83825",054 548 21 44,albinavakarchuk@example.net
Аронець,Яків,Антонович,Чоловіча,08-08-1940,Хореограф,хутір Бердянськ,"площа Стороженка Олега, буд. 0 кв. 41, Залізне, 58314",227-12-98,ishchenkoleontii@example.net
Юрчишин,Гаврило,Едуардович,Чоловіча,29-12-1966,Ветеринар,місто Баштанка,"сквер Дукова, буд. 876, Бахмач, 71461",+380 19 815 85 90,dmytro04@example.com
Короленко,Алевтин,Хомович,Чоловіча,25-06-1953,Адвокат,селище Вознесенськ,"парк Балтський 2-й, буд. 66 кв. 8, Полонне, 98693",819 62 31,stefan14@example.org
Кириленко,Ілля,Аркадійович,Чоловіча,19-01-1999,Художник,село Теплодар,"набережна Дачна, буд. 13, Моспине, 48513",018 282 73 15,wkaras@example.org
Шведченко,Іван,Хомович,Чоловіча,04-12-1965,Композитор,місто Хоростків,"парк Тепличний 1-й, буд. 01 кв. 9, Барвінкове, 08072",+380 75 838-81-99,jkorpaniuk@example.net
Гресь,Артем,Климентович,Чоловіча,15-02-1992,Круп'є,хутір Бар,"набережна Юрія Асєєва, буд. 1 кв. 0, Борислав, 04089",+380 25 742-65-53,odarka53@example.com
Юрчишин,Мирон,Павлович,Чоловіча,14-07-2003,Реабілітолог,селище Хмельницький,"проспект Данила Самойловича, буд. 41, Болехів, 46743",+380 (58) 345-65-69,vitaliigerus@example.org
Дрозденко,Кирило,Зиновійович,Чоловіча,03-12-2002,Драматург,місто Новодружеськ,"сквер Чорничний, буд. 9, Тальне, 78919",489-84-51,vladyslav94@example.org
Захаренко,Устим,Богданович,Чоловіча,19-03-1977,Літературознавець,хутір Винники,"узвіз Садова 5-та, буд. 256 кв. 99, Зборів, 94201",+380 46 601 09 38,zakharkarpenko@example.org
Проценко,Борислав,Устимович,Чоловіча,21-11-1996,Антрополог,місто Гірник,"шосе Станційна 2-га, буд. 2 кв. 66, Золоте, 50005",+380 07 336 35 65,chumachenkokyrylo@example.net
Журавель,Панас,Болеславович,Чоловіча,17-09-1984,Бухгалтер,місто Зборів,"узвіз Красний, буд. 5 кв. 39, Євпаторія, 40500",+380 24 284-50-19,svitlanachekaliuk@example.com
Давимука,Віктор,Петрович,Чоловіча,04-06-1974,Патологоанатом,село Борщів,"площа Місячна, буд. 1 кв. 06, Кам'янське, 84648",+380 79 406 86 48,esomko@example.net
Фесенко,Аарон,Яковович,Чоловіча,02-01-1981,Етнограф,селище Чоп,"парк Шампанський, буд. 50 кв. 4, Вилкове, 83281",249-69-68,leopoldiaremkiv@example.net
Примаченко,Мирон,Остапович,Чоловіча,22-07-1973,Флорист,село Нікополь,"узвіз Івахненка Петра, буд. 2, Березівка, 12117",082 692-03-96,frantsivashchenko@example.com
Чуйко,Євген,Вадимович,Чоловіча,05-10-1952,Доцент,село Одеса,"проспект Василя Кандинського 2-й, буд. 8, Глухів, 11946",042 794-13-02,fmoskal@example.com
Гаєвська,Сергій,Віталійович,Чоловіча,30-12-2007,Економіст,хутір Боково-Хрустальне,"сквер Композитора Вербицького, буд. 267 кв. 2, Радивилів, 04663",529-64-62,fsymonenko@example.com
Вовк,Устим,Амвросійович,Чоловіча,13-03-1962,Шериф,хутір Олександрівськ,"шосе Айвазовського, буд. 876 кв. 6, Гнівань, 36203",042 491 21 91,radchenkofrants@example.org
Притула,Демʼян,Устимович,Чоловіча,04-08-1946,Складальник,хутір Корюківка,"набережна Бєлякова, буд. 79 кв. 5, Болград, 83386",007 873 62 50,biushchenko@example.com
Архимович,Євген,Іванович,Чоловіча,19-06-1971,Стиліст,село Шаргород,"парк Лінія 23-тя, буд. 23, Буча, 70103",+380 23 438-48-00,mfurs@example.net
Назаренко,Назар,Валерійович,Чоловіча,04-11-1966,Письменник,селище Рівне,"сквер Харківська, буд. 9 кв. 579, Рівне, 17196",448 36 57,asaulamarusia@example.org
Ейбоженко,Макар,Яковович,Чоловіча,26-02-1941,Медик,хутір Сіверськодонецьк,"набережна Чигиринська, буд. 145, Арциз, 49101",939-13-68,martyn57@example.com
Павленко,Богодар,Кирилович,Чоловіча,29-05-1957,Журналіст,село Ужгород,"провулок Банний, буд. 92 кв. 171, Герца, 17066",+380 52 452-71-82,fedirstets@example.org
Бабʼяк,Володимир,Веніяминович,Чоловіча,31-10-1941,Хореограф,місто Бориспіль,"площа Кавказька, буд. 9 кв. 755, Олександрія, 78549",+380 23 199-84-57,tereshchuktetiana@example.org
Журба,Левко,Демʼянович,Чоловіча,15-04-1967,Геолог,місто Полонне,"проспект Підйомний, буд. 2 кв. 879, Вараш, 36254",+380 (53) 988-20-16,isaievychklyment@example.com
Дутка,Симон,Володимирович,Чоловіча,01-03-1955,Музичний редактор,село Житомир,"набережна Сьома, буд. 91, Боярка, 10461",+380 94 271-93-58,prokhirtsiupa@example.com
Чайка,Едуард,Станіславович,Чоловіча,24-10-1973,Головний меркшейдер,хутір Жидачів,"провулок Професора Коровицького, буд. 811, Попасна, 69275",+380 57 619 22 85,dshchors@example.net
Кальченко,Пантелеймон,Леонідович,Чоловіча,15-07-1983,Промисловець,село Біла Церква,"шосе Північний, буд. 657, Приморськ, 43883",+380 73 455 11 36,mykhailo69@example.net
Малик,Аврелій,Болеславович,Чоловіча,28-02-1953,Професор,хутір Липовець,"площа Цегляна, буд. 742 кв. 885, Кропивницький, 85715",+380 46 921-84-19,fastenkoeduard@example.com
